gene	arm	logFC	adj.P.Val	direction_stability	bootstrap_ci_low	bootstrap_ci_high	GeneID	type_of_gene	Nomenclature_status	ncbi_current_symbol	annotation_method	GSE117606	GSE40362	GSE41657	GSE50114	GSE72820	GSE8671	n_platforms_present	all_six_platforms_present	protein_coding	objective_selection_eligible	eligibility_rule
LGALS3	down	-0.632631034679067	0.000718934584951	1.0	-0.870623950660229	-0.355027202516794	3958	protein-coding	O	LGALS3	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
SRI	down	-0.489016038155681	0.000718934584951	1.0	-0.651828701794148	-0.321294511109591	6717	protein-coding	O	SRI	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
RNF43	up	0.474688784834349	0.000718934584951	1.0	0.253895629197359	0.685984052717686	54894	protein-coding	O	RNF43	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
SOX4	up	0.392421773137814	0.0008769147653564	1.0	0.236581550166011	0.55647551715374	6659	protein-coding	O	SOX4	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
ASCL2	up	0.499044533279113	0.000978890866502	1.0	0.283549062162638	0.745549570024013	430	protein-coding	O	ASCL2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
CHP2	down	-0.577784684105271	0.0011721296741246	1.0	-0.790224429965019	-0.40287895873189	63928	protein-coding	O	CHP2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
SLC6A6	up	0.377343234731296	0.0011721296741246	1.0	0.198750491440296	0.565663416683674	6533	protein-coding	O	SLC6A6	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
C15orf48	down	-0.566234720169745	0.0019071377275686	1.0	-0.775945611298084	-0.325283541530371	84419	protein-coding	O	COXFA4L3	unique_ncbi_synonym	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
CYP4X1	up	0.259352237022534	0.0019071377275686	1.0	0.130106462910771	0.392874815315008	260293	protein-coding	O	CYP4X1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
FABP1	down	-0.625338705813392	0.0020604301205329	1.0	-0.918600429594517	-0.387282679975033	2168	protein-coding	O	FABP1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
LGALS4	down	-0.604310084814453	0.0020604301205329	1.0	-0.871893173456192	-0.348966401815414	3960	protein-coding	O	LGALS4	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
AXIN2	up	0.42414270203647	0.0023389625724745	1.0	0.211632934585214	0.651855410635471	8313	protein-coding	O	AXIN2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
CYCS	down	-0.409760560399178	0.0023389625724745	1.0	-0.562196189165115	-0.238016560673714	54205	protein-coding	O	CYCS	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
DPEP1	up	0.512140243410315	0.0027845730112846	1.0	0.244460769742727	0.792924101650715	1800	protein-coding	O	DPEP1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
SDC3	up	0.343356140560077	0.0028679638097157	1.0	0.169948872178793	0.544590991735458	9672	protein-coding	O	SDC3	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
CA2	down	-0.499139216235935	0.0029378217143831	1.0	-0.68166378736496	-0.308551739156246	760	protein-coding	O	CA2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
EPHB3	up	0.450305212659286	0.0029378217143831	1.0	0.233486159145832	0.717114707827568	2049	protein-coding	O	EPHB3	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
COX5A	down	-0.428479233859834	0.0029378217143831	1.0	-0.598913602530956	-0.231265577673912	9377	protein-coding	O	COX5A	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
LGR5	up	0.40934629716739	0.0029378217143831	1.0	0.222023676335812	0.651624126732349	8549	protein-coding	O	LGR5	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
CD9	down	-0.402597269424247	0.0029378217143831	1.0	-0.558650772273541	-0.232245069742203	928	protein-coding	O	CD9	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
NDUFA1	down	-0.371032488348176	0.0029378217143831	1.0	-0.537586969137192	-0.209964857250452	4694	protein-coding	O	NDUFA1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
LTBP1	up	0.287655363604438	0.0029378217143831	1.0	0.153550054877996	0.432193172723055	4052	protein-coding	O	LTBP1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
BSG	down	-0.536109044864917	0.0032028747473298	1.0	-0.739563666284084	-0.376542319357395	682	protein-coding	O	BSG	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
CALM1	down	-0.376069526361208	0.0036714071616723	1.0	-0.546006432175636	-0.180501568317413	801	protein-coding	O	CALM1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
LRRC36	up	0.26957177354012	0.0036714071616723	1.0	0.122895560972393	0.426635754108429	55282	protein-coding	O	LRRC36	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
ZNF503	up	0.239039409921495	0.0036714071616723	1.0	0.122415625862777	0.391752018034458	84858	protein-coding	O	ZNF503	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
